,others,query,source,suggestion,title,word
tecsun,[],11,from all products,,0,tecsun
tekquest,[],10,from all products,,0,tekquest
tel,"[(u'trel', 33), (u'teal', 122), (u'steel', 16470), (u'towel', 916), (u'hotel', 27)]",11,from all products,,0,tel
telemecanique,[],12,from all products,,0,telemecanique
temp2,,3,added space before digit,temp 2,0,temp2
temping,"[(u'tamping', 7)]",3,from matched products,tamping,0,temping
tenex,"[(u'tenax', 50), (u'tee', 645), (u'tex', 67)]",13,from all products,tenax,0,tenex
terminix,[],11,from all products,,0,terminix
termiticide,[],1,from all products,,0,termiticide
terremora,[],4,from all products,,0,terremora
tgi,[],14,from all products,,0,tgi
thck,"[(u'thick', 2645)]",12,from matched products,thick,0,thck
ther,"[(u'the', 2858)]",11,from matched products,the,0,ther
thermador,[],8,from all products,,0,thermador
thermocoupler,"[(u'thermocouple', 14), (u'thermoclear', 29)]",1,from all products,thermocouple,0,thermocoupler
thoro,"[(u'toro', 635), (u'thorton', 19), (u'throw', 69)]",3,from all products,toro,0,thoro
thqb,[],18,from all products,,0,thqb
thromastate,[],3,from all products,,0,thromastate
thu,"[(u'thumb', 57), (u'thru', 83)]",7,from all products,thru,0,thu
tighrner,"[(u'tightener', 5), (u'tightner', 1)]",5,from matched products,tightner,0,tighrner
tilesaw,[],1,from bigrams,tile saw,0,tilesaw
timmers,"[(u'timer', 560)]",14,from matched products,timer,0,timmers
tji,[],17,from all products,,0,tji
tle,"[(u'tile', 9893)]",2,from matched products,tile,0,tle
toam,"[(u'foam', 853)]",2,from matched products,foam,0,toam
tobogg,[],12,from all products,,0,tobogg
toilet14769,,16,added space before digit,toilet 14769,0,toilet14769
tol,"[(u'tool', 3547)]",1,from matched products,tool,0,tol
tomostat,[],9,from all products,,0,tomostat
tool00,,10,added space before digit,tool 00,0,tool00
toolkit,[],1,from bigrams,tool kit,0,toolkit
top5,,12,added space before digit,top 5,0,top5
toplass,[],12,from all products,,0,toplass
toprail,[],19,from bigrams,top rail,0,toprail
topsealer,[],7,from all products,,0,topsealer
tordon,"[(u'gordon', 39)]",21,from matched products,gordon,0,tordon
toscane,"[(u'toscana', 11)]",15,from all products,toscana,0,toscane
toulone,"[(u'toulon', 9)]",9,from matched products,toulon,0,toulone
trane,"[(u'entrance', 137), (u'strainer', 306), (u'train', 35), (u'tan', 712), (u'stranded', 320), (u'triangle', 93), (u'range', 2874), (u'crane', 51), (u'transfer', 207)]",2,from all products,,0,trane
trashcan,[],15,from bigrams,trash can,0,trashcan
trcat,"[(u'truecoat', 12), (u'rca', 27), (u'cat', 168), (u'rat', 55)]",15,from all products,truecoat,0,trcat
treillis,"[(u'trellis', 109)]",10,from matched products,trellis,0,treillis
tresers,[],17,from all products,,0,tresers
treshold,"[(u'threshold', 618)]",3,from matched products,threshold,0,treshold
trigal,[],11,from all products,,0,trigal
trimec,[],18,from all products,,0,trimec
tros,"[(u'trs', 2)]",9,from matched products,trs,0,tros
tupperware,[],5,from all products,,0,tupperware
turbi,"[(u'turbine', 39)]",16,from matched products,turbine,0,turbi
twp,[],7,from all products,,0,twp
tychem,[],7,from all products,,0,tychem
undercoater,"[(u'undercounter', 33)]",14,from all products,undercounter,0,undercoater
underdeck,[],8,from bigrams,under deck,0,underdeck
unhung,[],5,from all products,,0,unhung
unistrut,"[(u'strut', 24)]",38,from matched products,strut,0,unistrut
unsulation,"[(u'insulation', 884)]",13,from matched products,insulation,0,unsulation
uplighting,"[(u'lighting', 5032)]",8,from matched products,lighting,0,uplighting
uponor,[],3,from all products,,0,uponor
urican,[],6,from all products,,0,urican
urne,"[(u'urn', 75)]",7,from matched products,urn,0,urne
utilitech,[],1,from all products,,0,utilitech
vacum,"[(u'vacuum', 964)]",1,from matched products,vacuum,0,vacum
vacume,"[(u'vacuum', 964)]",4,from matched products,vacuum,0,vacume
valleriana,"[(u'valeriano', 5)]",5,from matched products,valeriano,0,valleriana
valvoline,[],11,from all products,,0,valvoline
van1724,,2,added space before digit,van 1724,0,van1724
vdk,[],8,from all products,,0,vdk
vegetale,"[(u'vegetable', 54), (u'vegetables', 70)]",10,from matched products,vegetable,0,vegetale
venner,"[(u'veneer', 147)]",17,from matched products,veneer,0,venner
veri,"[(u'ever', 28), (u'euri', 71), (u'vein', 46), (u'versi', 17), (u'very', 104), (u'vero', 56), (u'over', 865)]",9,from all products,versi,0,veri
versabone,"[(u'versabond', 74)]",1,from matched products,versabond,0,versabone
vetical,"[(u'vertical', 621)]",14,from matched products,vertical,0,vetical
vft,[],12,from all products,,0,vft
vig,"[(u'vigo', 387)]",2,from all products,vigo,0,vig
vigaro,"[(u'vigoro', 335)]",8,from matched products,vigoro,0,vigaro
vinal,"[(u'vinyl', 5592)]",8,from matched products,vinyl,0,vinal
vintemp,"[(u'vinotemp', 23)]",10,from matched products,vinotemp,0,vintemp
viny,"[(u'vinyl', 5592)]",1,from matched products,vinyl,0,viny
virginai,"[(u'virgin', 11)]",2,from all products,virgin,0,virginai
vtop,"[(u'top', 6674)]",2,from matched products,top,0,vtop
waher,"[(u'wafer', 32), (u'washers', 139), (u'washer', 1726), (u'water', 5094), (u'waxer', 13), (u'weather', 717)]",2,from all products,washer,0,waher
walkie,"[(u'walker', 15)]",19,from all products,walker,0,walkie
wallbase,[],17,from bigrams,wall base,0,wallbase
wallhugger,[],2,from bigrams,wall hugger,0,wallhugger
wallplate,[],17,from bigrams,wall plate,0,wallplate
wallprimer,[],1,from all products,,0,wallprimer
walmound,"[(u'wallmount', 15)]",13,from matched products,wallmount,0,walmound
walt,"[(u'dewalt', 2373)]",1,from matched products,dewalt,0,walt
washlet,[],2,from all products,,0,washlet
wastel,"[(u'waste', 334)]",12,from matched products,waste,0,wastel
waterheater,[],20,from bigrams,water heater,0,waterheater
waterpi,"[(u'waterpik', 74)]",13,from matched products,waterpik,0,waterpi
waterpump,[],1,from bigrams,water pump,0,waterpump
watt880,,1,added space before digit,watt 880,0,watt880
wayfair,"[(u'mayfair', 15)]",12,from all products,mayfair,0,wayfair
weatherhead,"[(u'weathershield', 470), (u'weathered', 266)]",4,from all products,weathered,0,weatherhead
webmo,"[(u'wemo', 14)]",7,from matched products,wemo,0,webmo
weedbgon,[],2,from all products,,0,weedbgon
weedeater,[],31,from bigrams,weed eater,0,weedeater
weedeaters,[],2,from all products,,0,weedeaters
weedwacker,[],2,from all products,,0,weedwacker
welland,[],1,from all products,,0,welland
weman,"[(u'woman', 2)]",13,from matched products,woman,0,weman
wer,"[(u'wafer', 32), (u'power', 2478), (u'newer', 11), (u'sewer', 44), (u'wiper', 13), (u'mower', 1351), (u'weber', 582), (u'wear', 25), (u'water', 5094), (u'tower', 259), (u'waxer', 13), (u'lower', 81)]",6,from all products,wear,0,wer
wera,"[(u'wear', 25)]",18,from matched products,wear,0,wera
wesleyspruce,[],4,from all products,,0,wesleyspruce
westlock,"[(u'weslock', 30)]",8,from all products,weslock,0,westlock
westmore,[],6,from all products,,0,westmore
westpac,[],11,from all products,,0,westpac
whearehoues,[],13,from all products,,0,whearehoues
wheather,"[(u'heathered', 12), (u'heater', 3479), (u'weathered', 266), (u'heather', 37), (u'weather', 717)]",1,from all products,,0,wheather
wheelb,"[(u'wheel', 768), (u'wheels', 211)]",11,from all products,wheel,0,wheelb
wht,"[(u'white', 30578)]",1,from matched products,white,0,wht
wiga,"[(u'wigan', 8)]",7,from matched products,wigan,0,wiga
wilmarut,[],13,from all products,,0,wilmarut
windos,"[(u'windows', 371)]",14,from all products,windows,0,windos
windowtioners,[],15,from all products,,0,windowtioners
wiremesh,[],15,from bigrams,wire mesh,0,wiremesh
wirenuts,[],3,from all products,,0,wirenuts
wirless,"[(u'wireless', 1001)]",5,from matched products,wireless,0,wirless
woodflooring,[],17,from bigrams,wood flooring,0,woodflooring
woodstoves,[],7,from bigrams,wood stoves,0,woodstoves
worklite,"[(u'worklight', 16)]",12,from all products,worklight,0,worklite
workpro,[],4,from all products,,0,workpro
workstar,[],4,from all products,,0,workstar
workx,"[(u'worx', 112)]",1,from matched products,worx,0,workx
wtf,[],9,from all products,,0,wtf
xbox,"[(u'box', 3425)]",15,from all products,box,0,xbox
xrf,[],1,from all products,,0,xrf
xscapes,"[(u'scapes', 84)]",3,from matched products,scapes,0,xscapes
yardguard,[],17,from bigrams,yard guard,0,yardguard
yardwaste,[],3,from bigrams,yard waste,0,yardwaste
yel,"[(u'lyell', 14)]",9,from all products,lyell,0,yel
yonkers,[],11,from all products,,0,yonkers
zacatecas,[],11,from all products,,0,zacatecas
zall,"[(u'sawzall', 108)]",10,from matched products,sawzall,0,zall
zaw,[],2,from all products,,0,zaw
zeroturn,[],15,from bigrams,zero turn,0,zeroturn
zhi,[],10,from all products,,0,zhi
zwave,"[(u'wave', 467)]",18,from matched products,wave,0,zwave
zymes,[],1,from all products,,0,zymes
